CELL_ID,highway_rank,max_lanes,mean_gvi,total_road_length_m,n_road_segments
다사70005025,0,0.0,0.0,0.0,0
다사70005050,0,0.0,0.0,0.0,0
다사70005075,0,0.0,0.0,0.0,0
다사70004900,3,2.0,0.359960963778752,1609.2979262398776,1
다사70004925,0,0.0,0.0,0.0,0
다사70004950,2,2.0,0.769053192254729,2359.1398174814726,2
다사70004975,0,0.0,0.0,0.0,0
다사70005200,0,0.0,0.0,0.0,0
다사70005225,4,4.0,-0.013687013198319295,1813.2152196866791,1
다사70005250,0,0.0,0.0,0.0,0
다사70005275,0,0.0,0.0,0.0,0
다사70005100,0,0.0,0.0,0.0,0
다사70005125,0,0.0,0.0,0.0,0
다사70005150,0,0.0,0.0,0.0,0
다사70005175,0,0.0,0.0,0.0,0
다사69755050,0,0.0,0.0,0.0,0
다사69755075,0,0.0,0.0,0.0,0
다사69755100,2,2.0,0.3897996939329276,1701.1872848854298,2
다사69755125,0,0.0,0.0,0.0,0
다사69754950,0,0.0,0.0,0.0,0
다사69754975,0,0.0,0.0,0.0,0
다사69755000,0,0.0,0.0,0.0,0
다사69755025,2,2.0,0.7185622110310547,1389.3918148488403,2
다사69755250,0,0.0,0.0,0.0,0
다사69755275,0,0.0,0.0,0.0,0
다사70004425,2,2.0,0.7066934159530142,328.38159455946595,11
다사70004450,0,0.0,0.0,0.0,0
다사69755150,2,2.0,-0.34571452525596724,1251.2536449376876,2
다사69755175,0,0.0,0.0,0.0,0
다사69755200,1,2.0,0.14171665034226416,230.60740288280778,1
다사69755225,0,0.0,0.0,0.0,0
다사70504975,0,0.0,0.0,0.0,0
다사70505000,0,0.0,0.0,0.0,0
다사70505025,0,0.0,0.0,0.0,0
다사70505050,0,0.0,0.0,0.0,0
다사70255300,0,0.0,0.0,0.0,0
다사70255325,0,0.0,0.0,0.0,0
다사70504925,0,0.0,0.0,0.0,0
다사70504950,0,0.0,0.0,0.0,0
다사70505175,0,0.0,0.0,0.0,0
다사70505200,0,0.0,0.0,0.0,0
다사70505225,0,0.0,0.0,0.0,0
다사70505250,0,0.0,0.0,0.0,0
다사70505075,0,0.0,0.0,0.0,0
다사70505100,0,0.0,0.0,0.0,0
다사70505125,0,0.0,0.0,0.0,0
다사70505150,0,0.0,0.0,0.0,0
다사70255000,0,0.0,0.0,0.0,0
다사70255025,0,0.0,0.0,0.0,0
다사70255050,2,2.0,0.15888667312067797,2635.654013618509,2
다사70255075,0,0.0,0.0,0.0,0
다사70005300,0,0.0,0.0,0.0,0
다사70254925,3,8.0,0.1705441448320127,2099.927572367089,1
다사70254950,0,0.0,0.0,0.0,0
다사70254975,0,0.0,0.0,0.0,0
다사70255200,0,0.0,0.0,0.0,0
다사70255225,4,4.0,-0.15999182707100595,1461.4559238483357,1
다사70255250,0,0.0,0.0,0.0,0
다사70255275,0,0.0,0.0,0.0,0
